n,m,p,a1,a2,a3,a4
66,2,60,3960,4020,3900,126
80,2,60,4800,4860,4740,140
24,3,90,2160,2250,2070,114
97,3,90,8730,8820,8640,187
58,2,60,3480,3540,3420,118
83,1,30,2490,2520,2460,113
72,3,90,6480,6570,6390,162
65,1,30,1950,1980,1920,95
55,1,30,1650,1680,1620,85
66,1,30,1980,2010,1950,96
32,1,30,960,990,930,62
13,2,60,780,840,720,73
75,1,30,2250,2280,2220,105
12,3,90,1080,1170,990,102
50,3,90,4500,4590,4410,140
72,1,30,2160,2190,2130,102
73,2,60,4380,4440,4320,133
21,2,60,1260,1320,1200,81
60,1,30,1800,1830,1770,90
12,1,30,360,390,330,42
66,3,90,5940,6030,5850,156
72,3,90,6480,6570,6390,162
28,2,60,1680,1740,1620,88
81,2,60,4860,4920,4800,141
47,1,30,1410,1440,1380,77
45,3,90,4050,4140,3960,135
31,2,60,1860,1920,1800,91
62,2,60,3720,3780,3660,122
48,1,30,1440,1470,1410,78
24,2,60,1440,1500,1380,84
72,1,30,2160,2190,2130,102
94,2,60,5640,5700,5580,154
56,2,60,3360,3420,3300,116
30,3,90,2700,2790,2610,120
53,2,60,3180,3240,3120,113
72,3,90,6480,6570,6390,162
14,3,90,1260,1350,1170,104
30,1,30,900,930,870,60
26,2,60,1560,1620,1500,86
64,2,60,3840,3900,3780,124
58,1,30,1740,1770,1710,88
83,2,60,4980,5040,4920,143
23,2,60,1380,1440,1320,83
54,1,30,1620,1650,1590,84
35,1,30,1050,1080,1020,65
25,1,30,750,780,720,55
77,3,90,6930,7020,6840,167
20,2,60,1200,1260,1140,80
20,1,30,600,630,570,50
33,2,60,1980,2040,1920,93
82,3,90,7380,7470,7290,172
47,1,30,1410,1440,1380,77
54,3,90,4860,4950,4770,144
72,2,60,4320,4380,4260,132
98,2,60,5880,5940,5820,158
36,2,60,2160,2220,2100,96
45,1,30,1350,1380,1320,75
69,2,60,4140,4200,4080,129
37,2,60,2220,2280,2160,97
67,1,30,2010,2040,1980,97
73,3,90,6570,6660,6480,163
46,2,60,2760,2820,2700,106
72,2,60,4320,4380,4260,132
92,3,90,8280,8370,8190,182
86,1,30,2580,2610,2550,116
18,2,60,1080,1140,1020,78
98,3,90,8820,8910,8730,188
72,3,90,6480,6570,6390,162
73,1,30,2190,2220,2160,103
61,1,30,1830,1860,1800,91
14,2,60,840,900,780,74
11,1,30,330,360,300,41
90,1,30,2700,2730,2670,120
68,1,30,2040,2070,2010,98
19,3,90,1710,1800,1620,109
14,1,30,420,450,390,44
97,3,90,8730,8820,8640,187
68,1,30,2040,2070,2010,98
98,2,60,5880,5940,5820,158
35,1,30,1050,1080,1020,65
79,1,30,2370,2400,2340,109
84,2,60,5040,5100,4980,144
16,2,60,960,1020,900,76
75,1,30,2250,2280,2220,105
19,3,90,1710,1800,1620,109
94,3,90,8460,8550,8370,184
21,1,30,630,660,600,51
23,3,90,2070,2160,1980,113
97,1,30,2910,2940,2880,127
77,1,30,2310,2340,2280,107
95,3,90,8550,8640,8460,185
82,1,30,2460,2490,2430,112
90,1,30,2700,2730,2670,120
72,1,30,2160,2190,2130,102
47,2,60,2820,2880,2760,107
81,2,60,4860,4920,4800,141
90,3,90,8100,8190,8010,180
13,3,90,1170,1260,1080,103
90,2,60,5400,5460,5340,150
57,2,60,3420,3480,3360,117
15,1,30,450,480,420,45
36,1,30,1080,1110,1050,66
18,2,60,1080,1140,1020,78
18,3,90,1620,1710,1530,108
75,3,90,6750,6840,6660,165
55,3,90,4950,5040,4860,145
99,2,60,5940,6000,5880,159
83,2,60,4980,5040,4920,143
75,1,30,2250,2280,2220,105
41,2,60,2460,2520,2400,101
95,2,60,5700,5760,5640,155
96,3,90,8640,8730,8550,186
70,1,30,2100,2130,2070,100
58,2,60,3480,3540,3420,118
59,1,30,1770,1800,1740,89
73,1,30,2190,2220,2160,103
35,3,90,3150,3240,3060,125
56,2,60,3360,3420,3300,116
90,3,90,8100,8190,8010,180
90,3,90,8100,8190,8010,180
48,1,30,1440,1470,1410,78
21,2,60,1260,1320,1200,81
32,2,60,1920,1980,1860,92
24,2,60,1440,1500,1380,84
72,1,30,2160,2190,2130,102
98,3,90,8820,8910,8730,188
17,3,90,1530,1620,1440,107
68,1,30,2040,2070,2010,98
50,3,90,4500,4590,4410,140
62,1,30,1860,1890,1830,92
67,3,90,6030,6120,5940,157
22,2,60,1320,1380,1260,82
72,1,30,2160,2190,2130,102
62,1,30,1860,1890,1830,92
19,3,90,1710,1800,1620,109
14,2,60,840,900,780,74
93,1,30,2790,2820,2760,123
95,1,30,2850,2880,2820,125
23,1,30,690,720,660,53
95,2,60,5700,5760,5640,155
41,1,30,1230,1260,1200,71
37,2,60,2220,2280,2160,97
28,2,60,1680,1740,1620,88
61,2,60,3660,3720,3600,121
16,1,30,480,510,450,46
72,1,30,2160,2190,2130,102
13,1,30,390,420,360,43
70,1,30,2100,2130,2070,100
30,2,60,1800,1860,1740,90
54,3,90,4860,4950,4770,144
45,2,60,2700,2760,2640,105
75,3,90,6750,6840,6660,165
93,1,30,2790,2820,2760,123
50,2,60,3000,3060,2940,110
29,3,90,2610,2700,2520,119
50,3,90,4500,4590,4410,140
22,3,90,1980,2070,1890,112
63,1,30,1890,1920,1860,93
63,3,90,5670,5760,5580,153
29,3,90,2610,2700,2520,119
79,1,30,2370,2400,2340,109
34,2,60,2040,2100,1980,94
82,1,30,2460,2490,2430,112
29,1,30,870,900,840,59
99,2,60,5940,6000,5880,159
63,1,30,1890,1920,1860,93
59,2,60,3540,3600,3480,119
13,2,60,780,840,720,73
60,2,60,3600,3660,3540,120
82,3,90,7380,7470,7290,172
83,1,30,2490,2520,2460,113
93,2,60,5580,5640,5520,153
32,2,60,1920,1980,1860,92
44,1,30,1320,1350,1290,74
52,3,90,4680,4770,4590,142
72,2,60,4320,4380,4260,132
51,1,30,1530,1560,1500,81
73,1,30,2190,2220,2160,103
13,1,30,390,420,360,43
43,3,90,3870,3960,3780,133
96,3,90,8640,8730,8550,186
74,3,90,6660,6750,6570,164
22,1,30,660,690,630,52
72,3,90,6480,6570,6390,162
73,2,60,4380,4440,4320,133
92,2,60,5520,5580,5460,152
92,3,90,8280,8370,8190,182
16,3,90,1440,1530,1350,106
97,2,60,5820,5880,5760,157
58,3,90,5220,5310,5130,148
35,3,90,3150,3240,3060,125
84,3,90,7560,7650,7470,174
41,1,30,1230,1260,1200,71
53,3,90,4770,4860,4680,143
56,1,30,1680,1710,1650,86
44,3,90,3960,4050,3870,134
57,3,90,5130,5220,5040,147
86,3,90,7740,7830,7650,176
12,3,90,1080,1170,990,102
50,3,90,4500,4590,4410,140
31,1,30,930,960,900,61
49,1,30,1470,1500,1440,79
85,1,30,2550,2580,2520,115
54,3,90,4860,4950,4770,144
46,1,30,1380,1410,1350,76
78,2,60,4680,4740,4620,138
45,1,30,1350,1380,1320,75
39,3,90,3510,3600,3420,129
16,2,60,960,1020,900,76
20,3,90,1800,1890,1710,110
44,3,90,3960,4050,3870,134
21,3,90,1890,1980,1800,111
87,1,30,2610,2640,2580,117
25,1,30,750,780,720,55
54,1,30,1620,1650,1590,84
35,2,60,2100,2160,2040,95
26,3,90,2340,2430,2250,116
44,1,30,1320,1350,1290,74
69,1,30,2070,2100,2040,99
77,3,90,6930,7020,6840,167
88,2,60,5280,5340,5220,148
70,3,90,6300,6390,6210,160
18,1,30,540,570,510,48
84,2,60,5040,5100,4980,144
70,3,90,6300,6390,6210,160
80,2,60,4800,4860,4740,140
23,2,60,1380,1440,1320,83
25,1,30,750,780,720,55
41,2,60,2460,2520,2400,101
99,3,90,8910,9000,8820,189
25,3,90,2250,2340,2160,115
59,1,30,1770,1800,1740,89
49,2,60,2940,3000,2880,109
26,1,30,780,810,750,56
56,2,60,3360,3420,3300,116
11,1,30,330,360,300,41
33,1,30,990,1020,960,63
62,2,60,3720,3780,3660,122
13,3,90,1170,1260,1080,103
22,3,90,1980,2070,1890,112
18,3,90,1620,1710,1530,108
27,2,60,1620,1680,1560,87
56,2,60,3360,3420,3300,116
77,1,30,2310,2340,2280,107
41,3,90,3690,3780,3600,131
45,2,60,2700,2760,2640,105
51,3,90,4590,4680,4500,141
30,1,30,900,930,870,60
25,3,90,2250,2340,2160,115
60,3,90,5400,5490,5310,150
97,1,30,2910,2940,2880,127
38,3,90,3420,3510,3330,128
93,2,60,5580,5640,5520,153
30,2,60,1800,1860,1740,90
50,3,90,4500,4590,4410,140
80,3,90,7200,7290,7110,170
38,1,30,1140,1170,1110,68
56,3,90,5040,5130,4950,146
63,1,30,1890,1920,1860,93
93,2,60,5580,5640,5520,153
95,3,90,8550,8640,8460,185
98,3,90,8820,8910,8730,188
46,1,30,1380,1410,1350,76
47,3,90,4230,4320,4140,137
91,2,60,5460,5520,5400,151
45,1,30,1350,1380,1320,75
18,1,30,540,570,510,48
21,3,90,1890,1980,1800,111
48,2,60,2880,2940,2820,108
29,2,60,1740,1800,1680,89
31,1,30,930,960,900,61
60,1,30,1800,1830,1770,90
76,1,30,2280,2310,2250,106
74,2,60,4440,4500,4380,134
37,2,60,2220,2280,2160,97
53,2,60,3180,3240,3120,113
89,1,30,2670,2700,2640,119
55,2,60,3300,3360,3240,115
40,2,60,2400,2460,2340,100
28,3,90,2520,2610,2430,118
86,3,90,7740,7830,7650,176
13,3,90,1170,1260,1080,103
52,1,30,1560,1590,1530,82
54,1,30,1620,1650,1590,84
94,3,90,8460,8550,8370,184
51,1,30,1530,1560,1500,81
70,3,90,6300,6390,6210,160
48,1,30,1440,1470,1410,78
60,1,30,1800,1830,1770,90
46,1,30,1380,1410,1350,76
56,3,90,5040,5130,4950,146
29,2,60,1740,1800,1680,89
30,2,60,1800,1860,1740,90
79,1,30,2370,2400,2340,109
88,3,90,7920,8010,7830,178
85,2,60,5100,5160,5040,145
30,2,60,1800,1860,1740,90
36,3,90,3240,3330,3150,126
25,1,30,750,780,720,55
31,1,30,930,960,900,61
46,2,60,2760,2820,2700,106
64,2,60,3840,3900,3780,124
13,2,60,780,840,720,73
68,2,60,4080,4140,4020,128
33,3,90,2970,3060,2880,123
80,1,30,2400,2430,2370,110
62,2,60,3720,3780,3660,122
96,2,60,5760,5820,5700,156
56,3,90,5040,5130,4950,146
37,1,30,1110,1140,1080,67
43,1,30,1290,1320,1260,73
43,2,60,2580,2640,2520,103
59,1,30,1770,1800,1740,89
79,1,30,2370,2400,2340,109
64,2,60,3840,3900,3780,124
85,2,60,5100,5160,5040,145
76,2,60,4560,4620,4500,136
21,2,60,1260,1320,1200,81
12,3,90,1080,1170,990,102
89,2,60,5340,5400,5280,149
31,1,30,930,960,900,61
27,3,90,2430,2520,2340,117
28,2,60,1680,1740,1620,88
58,3,90,5220,5310,5130,148
65,2,60,3900,3960,3840,125
95,1,30,2850,2880,2820,125
79,1,30,2370,2400,2340,109
77,3,90,6930,7020,6840,167
83,3,90,7470,7560,7380,173
58,3,90,5220,5310,5130,148
68,1,30,2040,2070,2010,98
81,2,60,4860,4920,4800,141
89,3,90,8010,8100,7920,179
88,3,90,7920,8010,7830,178
50,3,90,4500,4590,4410,140
47,3,90,4230,4320,4140,137
78,1,30,2340,2370,2310,108
85,3,90,7650,7740,7560,175
61,2,60,3660,3720,3600,121
36,1,30,1080,1110,1050,66
37,1,30,1110,1140,1080,67
42,1,30,1260,1290,1230,72
62,3,90,5580,5670,5490,152
69,3,90,6210,6300,6120,159
79,1,30,2370,2400,2340,109
29,1,30,870,900,840,59
93,1,30,2790,2820,2760,123
52,3,90,4680,4770,4590,142
42,3,90,3780,3870,3690,132
63,1,30,1890,1920,1860,93
85,2,60,5100,5160,5040,145
94,1,30,2820,2850,2790,124
18,2,60,1080,1140,1020,78
90,1,30,2700,2730,2670,120
99,1,30,2970,3000,2940,129
92,1,30,2760,2790,2730,122
33,2,60,1980,2040,1920,93
16,1,30,480,510,450,46
61,3,90,5490,5580,5400,151
44,3,90,3960,4050,3870,134
96,1,30,2880,2910,2850,126
19,2,60,1140,1200,1080,79
68,2,60,4080,4140,4020,128
13,3,90,1170,1260,1080,103
94,1,30,2820,2850,2790,124
72,2,60,4320,4380,4260,132
12,3,90,1080,1170,990,102
49,1,30,1470,1500,1440,79
45,2,60,2700,2760,2640,105
83,1,30,2490,2520,2460,113
38,1,30,1140,1170,1110,68
37,1,30,1110,1140,1080,67
40,3,90,3600,3690,3510,130
96,2,60,5760,5820,5700,156
37,1,30,1110,1140,1080,67
64,2,60,3840,3900,3780,124
56,2,60,3360,3420,3300,116
38,3,90,3420,3510,3330,128
48,1,30,1440,1470,1410,78
65,1,30,1950,1980,1920,95
98,2,60,5880,5940,5820,158
76,1,30,2280,2310,2250,106
43,1,30,1290,1320,1260,73
66,3,90,5940,6030,5850,156
44,3,90,3960,4050,3870,134
57,1,30,1710,1740,1680,87
17,3,90,1530,1620,1440,107
72,2,60,4320,4380,4260,132
28,3,90,2520,2610,2430,118
53,2,60,3180,3240,3120,113
48,3,90,4320,4410,4230,138
67,3,90,6030,6120,5940,157
96,3,90,8640,8730,8550,186
96,2,60,5760,5820,5700,156
32,2,60,1920,1980,1860,92
28,2,60,1680,1740,1620,88
70,1,30,2100,2130,2070,100
23,1,30,690,720,660,53
50,3,90,4500,4590,4410,140
64,1,30,1920,1950,1890,94
70,3,90,6300,6390,6210,160
79,3,90,7110,7200,7020,169
87,1,30,2610,2640,2580,117
46,1,30,1380,1410,1350,76
67,2,60,4020,4080,3960,127
25,3,90,2250,2340,2160,115
25,2,60,1500,1560,1440,85
12,2,60,720,780,660,72
53,3,90,4770,4860,4680,143
22,2,60,1320,1380,1260,82
34,1,30,1020,1050,990,64
57,3,90,5130,5220,5040,147
55,2,60,3300,3360,3240,115
53,2,60,3180,3240,3120,113
40,2,60,2400,2460,2340,100
26,2,60,1560,1620,1500,86
77,1,30,2310,2340,2280,107
87,3,90,7830,7920,7740,177
59,1,30,1770,1800,1740,89
30,2,60,1800,1860,1740,90
99,2,60,5940,6000,5880,159
51,3,90,4590,4680,4500,141
31,1,30,930,960,900,61
22,1,30,660,690,630,52
33,3,90,2970,3060,2880,123
96,3,90,8640,8730,8550,186
82,3,90,7380,7470,7290,172
41,3,90,3690,3780,3600,131
13,2,60,780,840,720,73
90,1,30,2700,2730,2670,120
26,2,60,1560,1620,1500,86
71,1,30,2130,2160,2100,101
72,2,60,4320,4380,4260,132
16,2,60,960,1020,900,76
97,1,30,2910,2940,2880,127
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
