n,m,a1,a2,a3,a4
588,2,1176,1764,1178,590
597,3,1791,2388,1794,600
500,4,2000,2500,2004,504
485,4,1940,2425,1944,489
838,8,6704,7542,6712,846
115,5,575,690,580,120
912,3,2736,3648,2739,915
678,5,3390,4068,3395,683
708,7,4956,5664,4963,715
431,5,2155,2586,2160,436
958,7,6706,7664,6713,965
864,2,1728,2592,1730,866
445,4,1780,2225,1784,449
747,8,5976,6723,5984,755
389,2,778,1167,780,391
979,8,7832,8811,7840,987
902,5,4510,5412,4515,907
869,5,4345,5214,4350,874
339,3,1017,1356,1020,342
296,2,592,888,594,298
397,4,1588,1985,1592,401
667,9,6003,6670,6012,676
127,9,1143,1270,1152,136
203,7,1421,1624,1428,210
771,6,4626,5397,4632,777
630,2,1260,1890,1262,632
147,3,441,588,444,150
687,2,1374,2061,1376,689
494,2,988,1482,990,496
708,5,3540,4248,3545,713
842,8,6736,7578,6744,850
470,8,3760,4230,3768,478
949,3,2847,3796,2850,952
439,3,1317,1756,1320,442
254,9,2286,2540,2295,263
984,3,2952,3936,2955,987
342,4,1368,1710,1372,346
225,6,1350,1575,1356,231
126,3,378,504,381,129
888,4,3552,4440,3556,892
633,9,5697,6330,5706,642
897,3,2691,3588,2694,900
567,8,4536,5103,4544,575
895,6,5370,6265,5376,901
379,8,3032,3411,3040,387
402,5,2010,2412,2015,407
380,3,1140,1520,1143,383
593,7,4151,4744,4158,600
307,4,1228,1535,1232,311
693,6,4158,4851,4164,699
836,6,5016,5852,5022,842
722,3,2166,2888,2169,725
966,8,7728,8694,7736,974
117,2,234,351,236,119
815,4,3260,4075,3264,819
358,5,1790,2148,1795,363
367,9,3303,3670,3312,376
332,6,1992,2324,1998,338
133,4,532,665,536,137
774,6,4644,5418,4650,780
398,2,796,1194,798,400
632,8,5056,5688,5064,640
608,4,2432,3040,2436,612
557,5,2785,3342,2790,562
511,6,3066,3577,3072,517
475,3,1425,1900,1428,478
961,9,8649,9610,8658,970
323,6,1938,2261,1944,329
393,9,3537,3930,3546,402
732,3,2196,2928,2199,735
585,8,4680,5265,4688,593
394,8,3152,3546,3160,402
986,5,4930,5916,4935,991
549,7,3843,4392,3850,556
799,7,5593,6392,5600,806
374,5,1870,2244,1875,379
505,6,3030,3535,3036,511
334,6,2004,2338,2010,340
172,4,688,860,692,176
294,6,1764,2058,1770,300
370,7,2590,2960,2597,377
550,9,4950,5500,4959,559
155,4,620,775,624,159
822,4,3288,4110,3292,826
278,8,2224,2502,2232,286
820,5,4100,4920,4105,825
637,4,2548,3185,2552,641
297,7,2079,2376,2086,304
273,6,1638,1911,1644,279
921,9,8289,9210,8298,930
430,3,1290,1720,1293,433
617,8,4936,5553,4944,625
424,3,1272,1696,1275,427
796,7,5572,6368,5579,803
759,5,3795,4554,3800,764
657,7,4599,5256,4606,664
625,6,3750,4375,3756,631
894,8,7152,8046,7160,902
570,8,4560,5130,4568,578
364,4,1456,1820,1460,368
994,6,5964,6958,5970,1000
186,3,558,744,561,189
751,6,4506,5257,4512,757
327,9,2943,3270,2952,336
903,7,6321,7224,6328,910
436,2,872,1308,874,438
869,7,6083,6952,6090,876
293,6,1758,2051,1764,299
418,9,3762,4180,3771,427
316,8,2528,2844,2536,324
470,9,4230,4700,4239,479
179,8,1432,1611,1440,187
915,8,7320,8235,7328,923
618,2,1236,1854,1238,620
157,2,314,471,316,159
545,3,1635,2180,1638,548
319,4,1276,1595,1280,323
191,9,1719,1910,1728,200
263,7,1841,2104,1848,270
199,6,1194,1393,1200,205
656,2,1312,1968,1314,658
856,7,5992,6848,5999,863
381,5,1905,2286,1910,386
274,9,2466,2740,2475,283
398,4,1592,1990,1596,402
441,8,3528,3969,3536,449
797,7,5579,6376,5586,804
482,8,3856,4338,3864,490
659,8,5272,5931,5280,667
706,2,1412,2118,1414,708
303,2,606,909,608,305
238,3,714,952,717,241
116,6,696,812,702,122
532,7,3724,4256,3731,539
278,2,556,834,558,280
443,2,886,1329,888,445
814,5,4070,4884,4075,819
391,4,1564,1955,1568,395
236,2,472,708,474,238
880,9,7920,8800,7929,889
374,8,2992,3366,3000,382
773,3,2319,3092,2322,776
867,5,4335,5202,4340,872
531,7,3717,4248,3724,538
642,7,4494,5136,4501,649
708,3,2124,2832,2127,711
569,8,4552,5121,4560,577
890,5,4450,5340,4455,895
983,4,3932,4915,3936,987
476,6,2856,3332,2862,482
713,4,2852,3565,2856,717
580,3,1740,2320,1743,583
930,8,7440,8370,7448,938
170,9,1530,1700,1539,179
865,4,3460,4325,3464,869
166,3,498,664,501,169
733,2,1466,2199,1468,735
983,3,2949,3932,2952,986
509,8,4072,4581,4080,517
359,6,2154,2513,2160,365
634,2,1268,1902,1270,636
278,4,1112,1390,1116,282
420,8,3360,3780,3368,428
815,3,2445,3260,2448,818
242,7,1694,1936,1701,249
642,4,2568,3210,2572,646
317,7,2219,2536,2226,324
885,3,2655,3540,2658,888
218,4,872,1090,876,222
907,4,3628,4535,3632,911
787,7,5509,6296,5516,794
491,6,2946,3437,2952,497
793,6,4758,5551,4764,799
593,4,2372,2965,2376,597
572,2,1144,1716,1146,574
697,8,5576,6273,5584,705
467,7,3269,3736,3276,474
123,5,615,738,620,128
996,5,4980,5976,4985,1001
808,3,2424,3232,2427,811
948,5,4740,5688,4745,953
629,5,3145,3774,3150,634
158,8,1264,1422,1272,166
965,4,3860,4825,3864,969
285,6,1710,1995,1716,291
212,6,1272,1484,1278,218
970,9,8730,9700,8739,979
776,3,2328,3104,2331,779
692,2,1384,2076,1386,694
501,3,1503,2004,1506,504
590,9,5310,5900,5319,599
747,9,6723,7470,6732,756
980,8,7840,8820,7848,988
621,2,1242,1863,1244,623
705,6,4230,4935,4236,711
938,2,1876,2814,1878,940
549,4,2196,2745,2200,553
908,8,7264,8172,7272,916
443,3,1329,1772,1332,446
951,7,6657,7608,6664,958
162,3,486,648,489,165
594,7,4158,4752,4165,601
330,6,1980,2310,1986,336
913,4,3652,4565,3656,917
466,6,2796,3262,2802,472
939,4,3756,4695,3760,943
580,5,2900,3480,2905,585
952,7,6664,7616,6671,959
703,7,4921,5624,4928,710
742,9,6678,7420,6687,751
121,8,968,1089,976,129
314,7,2198,2512,2205,321
477,6,2862,3339,2868,483
900,6,5400,6300,5406,906
921,8,7368,8289,7376,929
182,7,1274,1456,1281,189
888,8,7104,7992,7112,896
940,8,7520,8460,7528,948
241,9,2169,2410,2178,250
391,4,1564,1955,1568,395
132,7,924,1056,931,139
484,7,3388,3872,3395,491
664,8,5312,5976,5320,672
947,8,7576,8523,7584,955
114,4,456,570,460,118
894,7,6258,7152,6265,901
340,8,2720,3060,2728,348
861,8,6888,7749,6896,869
783,2,1566,2349,1568,785
998,4,3992,4990,3996,1002
920,7,6440,7360,6447,927
692,3,2076,2768,2079,695
266,5,1330,1596,1335,271
173,7,1211,1384,1218,180
237,8,1896,2133,1904,245
444,7,3108,3552,3115,451
220,7,1540,1760,1547,227
321,4,1284,1605,1288,325
809,7,5663,6472,5670,816
612,3,1836,2448,1839,615
917,9,8253,9170,8262,926
588,2,1176,1764,1178,590
956,6,5736,6692,5742,962
706,7,4942,5648,4949,713
568,6,3408,3976,3414,574
146,8,1168,1314,1176,154
686,6,4116,4802,4122,692
760,8,6080,6840,6088,768
682,9,6138,6820,6147,691
365,8,2920,3285,2928,373
594,4,2376,2970,2380,598
759,7,5313,6072,5320,766
329,4,1316,1645,1320,333
479,6,2874,3353,2880,485
206,8,1648,1854,1656,214
247,7,1729,1976,1736,254
344,9,3096,3440,3105,353
233,8,1864,2097,1872,241
293,3,879,1172,882,296
301,5,1505,1806,1510,306
219,5,1095,1314,1100,224
298,7,2086,2384,2093,305
134,2,268,402,270,136
944,6,5664,6608,5670,950
201,9,1809,2010,1818,210
909,3,2727,3636,2730,912
495,9,4455,4950,4464,504
943,6,5658,6601,5664,949
690,6,4140,4830,4146,696
973,9,8757,9730,8766,982
212,9,1908,2120,1917,221
856,9,7704,8560,7713,865
622,4,2488,3110,2492,626
525,9,4725,5250,4734,534
671,7,4697,5368,4704,678
115,4,460,575,464,119
567,3,1701,2268,1704,570
563,5,2815,3378,2820,568
393,8,3144,3537,3152,401
377,9,3393,3770,3402,386
436,4,1744,2180,1748,440
967,5,4835,5802,4840,972
261,5,1305,1566,1310,266
948,4,3792,4740,3796,952
993,7,6951,7944,6958,1000
597,5,2985,3582,2990,602
970,8,7760,8730,7768,978
897,5,4485,5382,4490,902
801,5,4005,4806,4010,806
338,3,1014,1352,1017,341
786,7,5502,6288,5509,793
887,4,3548,4435,3552,891
434,4,1736,2170,1740,438
829,7,5803,6632,5810,836
556,3,1668,2224,1671,559
394,6,2364,2758,2370,400
829,9,7461,8290,7470,838
602,6,3612,4214,3618,608
822,6,4932,5754,4938,828
782,3,2346,3128,2349,785
134,8,1072,1206,1080,142
794,8,6352,7146,6360,802
479,7,3353,3832,3360,486
154,7,1078,1232,1085,161
472,2,944,1416,946,474
474,3,1422,1896,1425,477
248,4,992,1240,996,252
682,9,6138,6820,6147,691
255,6,1530,1785,1536,261
439,3,1317,1756,1320,442
356,7,2492,2848,2499,363
826,5,4130,4956,4135,831
686,6,4116,4802,4122,692
765,2,1530,2295,1532,767
936,9,8424,9360,8433,945
958,7,6706,7664,6713,965
976,6,5856,6832,5862,982
668,4,2672,3340,2676,672
656,8,5248,5904,5256,664
881,2,1762,2643,1764,883
848,5,4240,5088,4245,853
810,3,2430,3240,2433,813
733,2,1466,2199,1468,735
354,2,708,1062,710,356
419,2,838,1257,840,421
793,2,1586,2379,1588,795
390,4,1560,1950,1564,394
234,7,1638,1872,1645,241
806,4,3224,4030,3228,810
330,2,660,990,662,332
174,7,1218,1392,1225,181
938,5,4690,5628,4695,943
391,3,1173,1564,1176,394
670,6,4020,4690,4026,676
372,4,1488,1860,1492,376
924,3,2772,3696,2775,927
971,9,8739,9710,8748,980
518,2,1036,1554,1038,520
946,9,8514,9460,8523,955
488,3,1464,1952,1467,491
280,9,2520,2800,2529,289
542,8,4336,4878,4344,550
513,5,2565,3078,2570,518
435,9,3915,4350,3924,444
212,2,424,636,426,214
656,3,1968,2624,1971,659
308,9,2772,3080,2781,317
946,3,2838,3784,2841,949
453,6,2718,3171,2724,459
116,4,464,580,468,120
189,7,1323,1512,1330,196
574,5,2870,3444,2875,579
969,6,5814,6783,5820,975
721,5,3605,4326,3610,726
764,2,1528,2292,1530,766
826,9,7434,8260,7443,835
771,6,4626,5397,4632,777
588,4,2352,2940,2356,592
288,3,864,1152,867,291
716,8,5728,6444,5736,724
825,3,2475,3300,2478,828
284,5,1420,1704,1425,289
148,2,296,444,298,150
595,8,4760,5355,4768,603
958,5,4790,5748,4795,963
499,6,2994,3493,3000,505
146,5,730,876,735,151
379,5,1895,2274,1900,384
986,5,4930,5916,4935,991
809,6,4854,5663,4860,815
806,2,1612,2418,1614,808
746,6,4476,5222,4482,752
449,4,1796,2245,1800,453
794,7,5558,6352,5565,801
972,5,4860,5832,4865,977
141,9,1269,1410,1278,150
974,2,1948,2922,1950,976
727,4,2908,3635,2912,731
322,2,644,966,646,324
134,2,268,402,270,136
539,3,1617,2156,1620,542
675,3,2025,2700,2028,678
230,6,1380,1610,1386,236
502,2,1004,1506,1006,504
755,4,3020,3775,3024,759
454,4,1816,2270,1820,458
136,4,544,680,548,140
987,4,3948,4935,3952,991
702,8,5616,6318,5624,710
774,3,2322,3096,2325,777
248,9,2232,2480,2241,257
606,4,2424,3030,2428,610
169,9,1521,1690,1530,178
122,8,976,1098,984,130
730,3,2190,2920,2193,733
899,8,7192,8091,7200,907
395,5,1975,2370,1980,400
413,5,2065,2478,2070,418
947,5,4735,5682,4740,952
832,3,2496,3328,2499,835
480,9,4320,4800,4329,489
276,7,1932,2208,1939,283
143,5,715,858,720,148
151,4,604,755,608,155
954,6,5724,6678,5730,960
259,6,1554,1813,1560,265
539,6,3234,3773,3240,545
343,9,3087,3430,3096,352
660,2,1320,1980,1322,662
873,7,6111,6984,6118,880
275,9,2475,2750,2484,284
667,2,1334,2001,1336,669
564,5,2820,3384,2825,569
800,6,4800,5600,4806,806
282,5,1410,1692,1415,287
532,2,1064,1596,1066,534
460,6,2760,3220,2766,466
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
