n,m,p,q,r,s,a1,a2,a3,a4
3,3,5,5,165,1650,1815,1820,1650,165
6,4,9,4,256,5760,6016,6020,5760,256
5,5,3,2,110,1650,1760,1762,1650,110
6,2,7,8,496,4340,4836,4844,4340,496
2,7,1,3,81,270,351,354,270,81
7,5,4,7,525,3000,3525,3532,3000,525
2,8,6,1,28,1680,1708,1709,1680,28
4,5,4,3,135,1800,1935,1938,1800,135
8,9,6,6,534,5340,5874,5880,5340,534
9,5,8,2,190,7600,7790,7792,7600,190
5,9,5,6,354,2950,3304,3310,2950,354
7,5,2,1,75,1500,1575,1576,1500,75
5,6,8,6,336,4480,4816,4822,4480,336
7,7,7,4,308,5390,5698,5702,5390,308
7,3,7,5,365,5110,5475,5480,5110,365
6,3,2,8,504,1260,1764,1772,1260,504
7,4,6,2,148,4440,4588,4590,4440,148
7,8,3,9,702,2340,3042,3051,2340,702
1,6,1,3,48,160,208,211,160,48
8,2,8,1,82,6560,6642,6643,6560,82
8,7,3,1,87,2610,2697,2698,2610,87
2,8,4,7,196,1120,1316,1323,1120,196
7,3,8,3,219,5840,6059,6062,5840,219
2,5,7,9,225,1750,1975,1984,1750,225
7,3,2,1,73,1460,1533,1534,1460,73
1,7,2,7,119,340,459,466,340,119
8,4,5,5,420,4200,4620,4625,4200,420
5,8,6,8,464,3480,3944,3952,3480,464
9,6,1,9,864,960,1824,1833,960,864
5,2,1,5,260,520,780,785,520,260
5,9,4,3,177,2360,2537,2540,2360,177
5,9,9,5,295,5310,5605,5610,5310,295
2,6,5,2,52,1300,1352,1354,1300,52
9,1,4,4,364,3640,4004,4008,3640,364
3,1,4,8,248,1240,1488,1496,1240,248
1,5,7,2,30,1050,1080,1082,1050,30
1,5,8,1,15,1200,1215,1216,1200,15
1,4,9,5,70,1260,1330,1335,1260,70
1,7,9,7,119,1530,1649,1656,1530,119
4,3,7,6,258,3010,3268,3274,3010,258
2,7,3,2,54,810,864,866,810,54
9,2,6,9,828,5520,6348,6357,5520,828
8,7,8,1,87,6960,7047,7048,6960,87
9,1,9,2,182,8190,8372,8374,8190,182
7,7,4,1,77,3080,3157,3158,3080,77
3,4,6,2,68,2040,2108,2110,2040,68
1,9,3,9,171,570,741,750,570,171
3,5,8,6,210,2800,3010,3016,2800,210
5,3,7,9,477,3710,4187,4196,3710,477
1,4,6,8,112,840,952,960,840,112
7,7,7,4,308,5390,5698,5702,5390,308
2,7,3,6,162,810,972,978,810,162
7,4,3,1,74,2220,2294,2295,2220,74
5,4,9,7,378,4860,5238,5245,4860,378
4,5,1,5,225,450,675,680,450,225
6,6,7,9,594,4620,5214,5223,4620,594
9,3,8,5,465,7440,7905,7910,7440,465
3,8,2,1,38,760,798,799,760,38
4,3,9,6,258,3870,4128,4134,3870,258
9,8,2,6,588,1960,2548,2554,1960,588
4,3,7,8,344,3010,3354,3362,3010,344
2,3,1,2,46,230,276,278,230,46
9,7,8,8,776,7760,8536,8544,7760,776
4,2,6,7,294,2520,2814,2821,2520,294
8,9,3,3,267,2670,2937,2940,2670,267
5,8,9,4,232,5220,5452,5456,5220,232
1,4,5,9,126,700,826,835,700,126
9,4,8,1,94,7520,7614,7615,7520,94
8,2,9,4,328,7380,7708,7712,7380,328
5,4,1,1,54,540,594,595,540,54
5,3,8,3,159,4240,4399,4402,4240,159
2,1,5,1,21,1050,1071,1072,1050,21
5,8,7,9,522,4060,4582,4591,4060,522
3,4,5,8,272,1700,1972,1980,1700,272
5,4,9,6,324,4860,5184,5190,4860,324
7,9,8,9,711,6320,7031,7040,6320,711
7,8,3,9,702,2340,3042,3051,2340,702
7,6,2,5,380,1520,1900,1905,1520,380
2,6,4,2,52,1040,1092,1094,1040,52
3,2,5,6,192,1600,1792,1798,1600,192
9,1,4,8,728,3640,4368,4376,3640,728
6,8,2,9,612,1360,1972,1981,1360,612
3,3,9,4,132,2970,3102,3106,2970,132
8,5,5,1,85,4250,4335,4336,4250,85
8,5,8,1,85,6800,6885,6886,6800,85
2,6,8,3,78,2080,2158,2161,2080,78
1,3,3,8,104,390,494,502,390,104
6,7,1,4,268,670,938,942,670,268
5,3,8,1,53,4240,4293,4294,4240,53
7,6,3,6,456,2280,2736,2742,2280,456
1,3,5,1,13,650,663,664,650,13
4,9,7,4,196,3430,3626,3630,3430,196
9,5,3,6,570,2850,3420,3426,2850,570
1,5,7,7,105,1050,1155,1162,1050,105
4,3,9,7,301,3870,4171,4178,3870,301
6,2,9,1,62,5580,5642,5643,5580,62
7,6,8,1,76,6080,6156,6157,6080,76
5,5,7,4,220,3850,4070,4074,3850,220
2,2,4,9,198,880,1078,1087,880,198
4,3,2,4,172,860,1032,1036,860,172
5,6,9,8,448,5040,5488,5496,5040,448
6,7,9,2,134,6030,6164,6166,6030,134
8,9,8,9,801,7120,7921,7930,7120,801
1,1,3,5,55,330,385,390,330,55
3,8,8,6,228,3040,3268,3274,3040,228
2,1,2,3,63,420,483,486,420,63
6,3,6,1,63,3780,3843,3844,3780,63
9,6,7,2,192,6720,6912,6914,6720,192
4,9,7,7,343,3430,3773,3780,3430,343
4,1,2,7,287,820,1107,1114,820,287
8,3,8,4,332,6640,6972,6976,6640,332
6,5,2,2,130,1300,1430,1432,1300,130
4,2,3,6,252,1260,1512,1518,1260,252
1,4,8,5,70,1120,1190,1195,1120,70
1,3,8,9,117,1040,1157,1166,1040,117
5,7,5,2,114,2850,2964,2966,2850,114
6,9,4,4,276,2760,3036,3040,2760,276
5,3,7,3,159,3710,3869,3872,3710,159
3,9,6,1,39,2340,2379,2380,2340,39
2,4,2,8,192,480,672,680,480,192
1,5,5,2,30,750,780,782,750,30
7,1,7,8,568,4970,5538,5546,4970,568
5,1,5,8,408,2550,2958,2966,2550,408
6,1,5,8,488,3050,3538,3546,3050,488
9,2,8,6,552,7360,7912,7918,7360,552
3,3,2,1,33,660,693,694,660,33
6,9,2,6,414,1380,1794,1800,1380,414
1,2,4,5,60,480,540,545,480,60
6,1,1,6,366,610,976,982,610,366
6,5,5,4,260,3250,3510,3514,3250,260
2,8,3,6,168,840,1008,1014,840,168
4,5,5,7,315,2250,2565,2572,2250,315
4,7,9,2,94,4230,4324,4326,4230,94
9,4,4,2,188,3760,3948,3950,3760,188
9,1,9,8,728,8190,8918,8926,8190,728
7,5,3,1,75,2250,2325,2326,2250,75
3,6,3,3,108,1080,1188,1191,1080,108
8,8,2,6,528,1760,2288,2294,1760,528
1,1,6,5,55,660,715,720,660,55
4,1,7,5,205,2870,3075,3080,2870,205
5,3,2,6,318,1060,1378,1384,1060,318
3,2,5,8,256,1600,1856,1864,1600,256
3,9,8,6,234,3120,3354,3360,3120,234
9,8,7,9,882,6860,7742,7751,6860,882
2,6,6,4,104,1560,1664,1668,1560,104
8,7,1,1,87,870,957,958,870,87
7,3,3,1,73,2190,2263,2264,2190,73
4,8,9,3,144,4320,4464,4467,4320,144
2,8,7,6,168,1960,2128,2134,1960,168
4,5,2,8,360,900,1260,1268,900,360
2,4,4,4,96,960,1056,1060,960,96
2,7,9,5,135,2430,2565,2570,2430,135
5,4,6,6,324,3240,3564,3570,3240,324
3,2,7,2,64,2240,2304,2306,2240,64
1,7,5,5,85,850,935,940,850,85
1,5,5,8,120,750,870,878,750,120
8,9,6,7,623,5340,5963,5970,5340,623
4,3,2,2,86,860,946,948,860,86
1,1,4,5,55,440,495,500,440,55
7,8,9,6,468,7020,7488,7494,7020,468
2,1,5,1,21,1050,1071,1072,1050,21
7,3,6,6,438,4380,4818,4824,4380,438
2,6,2,2,52,520,572,574,520,52
3,8,8,1,38,3040,3078,3079,3040,38
4,7,1,5,235,470,705,710,470,235
5,2,9,3,156,4680,4836,4839,4680,156
4,2,7,6,252,2940,3192,3198,2940,252
1,7,5,7,119,850,969,976,850,119
4,3,1,3,129,430,559,562,430,129
6,7,7,7,469,4690,5159,5166,4690,469
7,2,1,4,288,720,1008,1012,720,288
3,1,8,9,279,2480,2759,2768,2480,279
2,3,3,6,138,690,828,834,690,138
5,5,9,9,495,4950,5445,5454,4950,495
7,4,9,3,222,6660,6882,6885,6660,222
3,9,8,8,312,3120,3432,3440,3120,312
5,3,9,1,53,4770,4823,4824,4770,53
9,6,6,9,864,5760,6624,6633,5760,864
8,8,9,3,264,7920,8184,8187,7920,264
1,4,2,9,126,280,406,415,280,126
5,3,6,2,106,3180,3286,3288,3180,106
6,2,9,2,124,5580,5704,5706,5580,124
9,9,5,7,693,4950,5643,5650,4950,693
6,4,5,9,576,3200,3776,3785,3200,576
1,6,4,2,32,640,672,674,640,32
4,9,3,1,49,1470,1519,1520,1470,49
6,2,9,5,310,5580,5890,5895,5580,310
8,8,1,7,616,880,1496,1503,880,616
9,1,5,2,182,4550,4732,4734,4550,182
4,8,8,8,384,3840,4224,4232,3840,384
2,1,3,1,21,630,651,652,630,21
5,9,7,3,177,4130,4307,4310,4130,177
5,2,6,3,156,3120,3276,3279,3120,156
9,3,1,2,186,930,1116,1118,930,186
3,3,2,6,198,660,858,864,660,198
8,5,4,7,595,3400,3995,4002,3400,595
3,3,8,5,165,2640,2805,2810,2640,165
2,1,5,9,189,1050,1239,1248,1050,189
9,8,9,7,686,8820,9506,9513,8820,686
3,3,6,7,231,1980,2211,2218,1980,231
1,7,8,4,68,1360,1428,1432,1360,68
4,8,1,5,240,480,720,725,480,240
1,7,1,1,17,170,187,188,170,17
2,3,4,1,23,920,943,944,920,23
1,3,6,6,78,780,858,864,780,78
4,9,3,4,196,1470,1666,1670,1470,196
3,8,9,4,152,3420,3572,3576,3420,152
6,7,3,1,67,2010,2077,2078,2010,67
2,4,2,4,96,480,576,580,480,96
2,3,1,3,69,230,299,302,230,69
3,2,1,3,96,320,416,419,320,96
5,6,3,4,224,1680,1904,1908,1680,224
5,8,1,3,174,580,754,757,580,174
8,3,6,7,581,4980,5561,5568,4980,581
5,4,3,7,378,1620,1998,2005,1620,378
9,3,4,8,744,3720,4464,4472,3720,744
2,6,5,4,104,1300,1404,1408,1300,104
9,5,4,3,285,3800,4085,4088,3800,285
1,7,5,2,34,850,884,886,850,34
6,1,8,1,61,4880,4941,4942,4880,61
7,1,9,8,568,6390,6958,6966,6390,568
3,5,8,8,280,2800,3080,3088,2800,280
9,2,7,1,92,6440,6532,6533,6440,92
1,3,3,9,117,390,507,516,390,117
7,8,7,6,468,5460,5928,5934,5460,468
1,6,3,9,144,480,624,633,480,144
8,1,1,8,648,810,1458,1466,810,648
5,4,9,4,216,4860,5076,5080,4860,216
5,7,7,9,513,3990,4503,4512,3990,513
6,6,8,5,330,5280,5610,5615,5280,330
1,3,3,7,91,390,481,488,390,91
5,4,8,5,270,4320,4590,4595,4320,270
5,9,6,9,531,3540,4071,4080,3540,531
8,5,7,8,680,5950,6630,6638,5950,680
5,5,3,9,495,1650,2145,2154,1650,495
7,8,1,6,468,780,1248,1254,780,468
8,5,7,6,510,5950,6460,6466,5950,510
6,9,2,7,483,1380,1863,1870,1380,483
6,6,5,1,66,3300,3366,3367,3300,66
6,1,1,5,305,610,915,920,610,305
2,5,6,3,75,1500,1575,1578,1500,75
9,9,6,1,99,5940,6039,6040,5940,99
8,5,2,7,595,1700,2295,2302,1700,595
3,2,9,6,192,2880,3072,3078,2880,192
6,2,2,1,62,1240,1302,1303,1240,62
9,6,7,8,768,6720,7488,7496,6720,768
8,8,6,3,264,5280,5544,5547,5280,264
3,9,4,6,234,1560,1794,1800,1560,234
6,6,9,8,528,5940,6468,6476,5940,528
4,8,1,4,192,480,672,676,480,192
5,5,4,4,220,2200,2420,2424,2200,220
8,7,5,5,435,4350,4785,4790,4350,435
3,3,6,7,231,1980,2211,2218,1980,231
1,5,3,4,60,450,510,514,450,60
3,7,7,1,37,2590,2627,2628,2590,37
2,2,5,7,154,1100,1254,1261,1100,154
5,6,2,5,280,1120,1400,1405,1120,280
1,4,3,5,70,420,490,495,420,70
2,1,1,8,168,210,378,386,210,168
6,8,1,3,204,680,884,887,680,204
6,9,7,5,345,4830,5175,5180,4830,345
7,1,8,4,284,5680,5964,5968,5680,284
7,4,2,8,592,1480,2072,2080,1480,592
1,9,8,5,95,1520,1615,1620,1520,95
7,1,1,9,639,710,1349,1358,710,639
7,7,3,4,308,2310,2618,2622,2310,308
1,2,2,4,48,240,288,292,240,48
7,5,4,8,600,3000,3600,3608,3000,600
8,1,8,3,243,6480,6723,6726,6480,243
5,1,8,1,51,4080,4131,4132,4080,51
9,7,8,3,291,7760,8051,8054,7760,291
7,5,3,3,225,2250,2475,2478,2250,225
8,3,6,2,166,4980,5146,5148,4980,166
8,8,3,6,528,2640,3168,3174,2640,528
3,1,1,1,31,310,341,342,310,31
2,1,2,4,84,420,504,508,420,84
2,2,2,2,44,440,484,486,440,44
4,5,4,1,45,1800,1845,1846,1800,45
3,6,1,2,72,360,432,434,360,72
8,5,4,4,340,3400,3740,3744,3400,340
8,2,2,8,656,1640,2296,2304,1640,656
7,5,5,7,525,3750,4275,4282,3750,525
7,9,3,6,474,2370,2844,2850,2370,474
4,2,3,6,252,1260,1512,1518,1260,252
2,6,7,8,208,1820,2028,2036,1820,208
2,7,6,2,54,1620,1674,1676,1620,54
7,6,4,8,608,3040,3648,3656,3040,608
7,4,7,6,444,5180,5624,5630,5180,444
2,2,9,4,88,1980,2068,2072,1980,88
1,1,3,1,11,330,341,342,330,11
9,6,5,6,576,4800,5376,5382,4800,576
6,2,5,4,248,3100,3348,3352,3100,248
9,7,1,6,582,970,1552,1558,970,582
5,3,9,6,318,4770,5088,5094,4770,318
3,6,9,6,216,3240,3456,3462,3240,216
7,4,4,1,74,2960,3034,3035,2960,74
9,1,4,1,91,3640,3731,3732,3640,91
6,7,4,9,603,2680,3283,3292,2680,603
1,4,7,2,28,980,1008,1010,980,28
7,3,2,6,438,1460,1898,1904,1460,438
2,1,3,8,168,630,798,806,630,168
6,5,3,5,325,1950,2275,2280,1950,325
8,8,9,2,176,7920,8096,8098,7920,176
4,2,3,9,378,1260,1638,1647,1260,378
4,3,5,5,215,2150,2365,2370,2150,215
4,3,2,3,129,860,989,992,860,129
8,2,4,3,246,3280,3526,3529,3280,246
4,9,4,6,294,1960,2254,2260,1960,294
5,2,2,6,312,1040,1352,1358,1040,312
3,5,5,3,105,1750,1855,1858,1750,105
2,7,5,9,243,1350,1593,1602,1350,243
5,3,8,8,424,4240,4664,4672,4240,424
8,6,6,8,688,5160,5848,5856,5160,688
8,5,4,4,340,3400,3740,3744,3400,340
8,6,4,2,172,3440,3612,3614,3440,172
3,2,8,7,224,2560,2784,2791,2560,224
4,6,8,2,92,3680,3772,3774,3680,92
9,6,6,7,672,5760,6432,6439,5760,672
7,5,1,4,300,750,1050,1054,750,300
1,8,1,6,108,180,288,294,180,108
5,1,3,6,306,1530,1836,1842,1530,306
6,2,8,8,496,4960,5456,5464,4960,496
8,9,5,6,534,4450,4984,4990,4450,534
6,6,1,9,594,660,1254,1263,660,594
8,1,1,3,243,810,1053,1056,810,243
9,8,2,8,784,1960,2744,2752,1960,784
7,2,3,9,648,2160,2808,2817,2160,648
2,3,1,7,161,230,391,398,230,161
5,6,3,3,168,1680,1848,1851,1680,168
4,9,7,2,98,3430,3528,3530,3430,98
1,7,6,7,119,1020,1139,1146,1020,119
2,3,9,3,69,2070,2139,2142,2070,69
4,3,8,8,344,3440,3784,3792,3440,344
9,6,6,6,576,5760,6336,6342,5760,576
5,9,8,6,354,4720,5074,5080,4720,354
2,3,4,6,138,920,1058,1064,920,138
5,5,9,1,55,4950,5005,5006,4950,55
2,6,2,6,156,520,676,682,520,156
8,2,2,6,492,1640,2132,2138,1640,492
4,1,7,7,287,2870,3157,3164,2870,287
4,8,4,4,192,1920,2112,2116,1920,192
8,1,8,5,405,6480,6885,6890,6480,405
2,8,4,8,224,1120,1344,1352,1120,224
5,8,9,2,116,5220,5336,5338,5220,116
8,1,1,9,729,810,1539,1548,810,729
9,7,3,1,97,2910,3007,3008,2910,97
9,2,7,3,276,6440,6716,6719,6440,276
4,5,3,2,90,1350,1440,1442,1350,90
7,4,9,5,370,6660,7030,7035,6660,370
9,4,6,9,846,5640,6486,6495,5640,846
6,1,2,2,122,1220,1342,1344,1220,122
1,3,2,1,13,260,273,274,260,13
8,5,4,4,340,3400,3740,3744,3400,340
5,2,4,8,416,2080,2496,2504,2080,416
6,5,1,9,585,650,1235,1244,650,585
8,7,8,8,696,6960,7656,7664,6960,696
3,1,1,1,31,310,341,342,310,31
7,9,6,2,158,4740,4898,4900,4740,158
9,3,2,1,93,1860,1953,1954,1860,93
5,5,2,6,330,1100,1430,1436,1100,330
4,3,5,2,86,2150,2236,2238,2150,86
6,2,8,3,186,4960,5146,5149,4960,186
3,7,2,5,185,740,925,930,740,185
1,7,2,7,119,340,459,466,340,119
7,1,2,4,284,1420,1704,1708,1420,284
5,6,6,7,392,3360,3752,3759,3360,392
2,2,9,6,132,1980,2112,2118,1980,132
7,4,2,2,148,1480,1628,1630,1480,148
6,2,4,5,310,2480,2790,2795,2480,310
6,7,8,8,536,5360,5896,5904,5360,536
5,3,5,5,265,2650,2915,2920,2650,265
1,3,3,3,39,390,429,432,390,39
4,2,1,2,84,420,504,506,420,84
2,9,2,8,232,580,812,820,580,232
2,1,7,4,84,1470,1554,1558,1470,84
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
