n,p,a1,a2,a3,a4
82,31,2542,2573,2511,113
82,53,4346,4399,4293,135
44,48,2112,2160,2064,92
75,20,1500,1520,1480,95
84,91,7644,7735,7553,175
62,54,3348,3402,3294,116
51,16,816,832,800,67
98,79,7742,7821,7663,177
27,37,999,1036,962,64
48,49,2352,2401,2303,97
82,83,6806,6889,6723,165
23,43,989,1032,946,66
55,29,1595,1624,1566,84
70,29,2030,2059,2001,99
57,76,4332,4408,4256,133
77,75,5775,5850,5700,152
75,14,1050,1064,1036,89
54,48,2592,2640,2544,102
11,16,176,192,160,27
35,89,3115,3204,3026,124
87,90,7830,7920,7740,177
52,88,4576,4664,4488,140
21,87,1827,1914,1740,108
43,19,817,836,798,62
52,75,3900,3975,3825,127
28,74,2072,2146,1998,102
98,94,9212,9306,9118,192
28,26,728,754,702,54
40,77,3080,3157,3003,117
68,84,5712,5796,5628,152
72,59,4248,4307,4189,131
62,98,6076,6174,5978,160
42,70,2940,3010,2870,112
33,86,2838,2924,2752,119
87,50,4350,4400,4300,137
43,43,1849,1892,1806,86
53,28,1484,1512,1456,81
64,83,5312,5395,5229,147
52,51,2652,2703,2601,103
43,99,4257,4356,4158,142
25,45,1125,1170,1080,70
52,15,780,795,765,67
15,77,1155,1232,1078,92
45,43,1935,1978,1892,88
16,53,848,901,795,69
69,25,1725,1750,1700,94
81,28,2268,2296,2240,109
64,14,896,910,882,78
43,35,1505,1540,1470,78
72,44,3168,3212,3124,116
16,70,1120,1190,1050,86
77,44,3388,3432,3344,121
47,16,752,768,736,63
50,62,3100,3162,3038,112
55,91,5005,5096,4914,146
35,48,1680,1728,1632,83
61,69,4209,4278,4140,130
37,46,1702,1748,1656,83
99,64,6336,6400,6272,163
24,86,2064,2150,1978,110
56,83,4648,4731,4565,139
27,91,2457,2548,2366,118
97,31,3007,3038,2976,128
24,29,696,725,667,53
23,98,2254,2352,2156,121
95,90,8550,8640,8460,185
81,28,2268,2296,2240,109
96,57,5472,5529,5415,153
53,30,1590,1620,1560,83
90,35,3150,3185,3115,125
82,58,4756,4814,4698,140
43,54,2322,2376,2268,97
37,70,2590,2660,2520,107
25,35,875,910,840,60
71,79,5609,5688,5530,150
63,36,2268,2304,2232,99
14,95,1330,1425,1235,109
79,68,5372,5440,5304,147
21,80,1680,1760,1600,101
54,37,1998,2035,1961,91
44,96,4224,4320,4128,140
53,53,2809,2862,2756,106
27,28,756,784,728,55
52,12,624,636,612,64
65,96,6240,6336,6144,161
25,57,1425,1482,1368,82
15,36,540,576,504,51
63,67,4221,4288,4154,130
72,86,6192,6278,6106,158
74,17,1258,1275,1241,91
61,62,3782,3844,3720,123
51,18,918,936,900,69
28,15,420,435,405,43
29,16,464,480,448,45
88,44,3872,3916,3828,132
21,94,1974,2068,1880,115
43,12,516,528,504,55
33,74,2442,2516,2368,107
51,68,3468,3536,3400,119
94,79,7426,7505,7347,173
78,55,4290,4345,4235,133
81,39,3159,3198,3120,120
98,63,6174,6237,6111,161
57,75,4275,4350,4200,132
91,52,4732,4784,4680,143
63,37,2331,2368,2294,100
64,71,4544,4615,4473,135
55,49,2695,2744,2646,104
25,26,650,676,624,51
25,76,1900,1976,1824,101
88,56,4928,4984,4872,144
20,20,400,420,380,40
20,92,1840,1932,1748,112
23,32,736,768,704,55
75,57,4275,4332,4218,132
98,56,5488,5544,5432,154
59,74,4366,4440,4292,133
26,65,1690,1755,1625,91
51,35,1785,1820,1750,86
63,65,4095,4160,4030,128
75,56,4200,4256,4144,131
80,21,1680,1701,1659,101
93,17,1581,1598,1564,110
26,97,2522,2619,2425,123
67,49,3283,3332,3234,116
56,89,4984,5073,4895,145
99,11,1089,1100,1078,110
60,23,1380,1403,1357,83
54,61,3294,3355,3233,115
69,39,2691,2730,2652,108
63,12,756,768,744,75
36,62,2232,2294,2170,98
57,28,1596,1624,1568,85
47,83,3901,3984,3818,130
63,54,3402,3456,3348,117
42,58,2436,2494,2378,100
65,54,3510,3564,3456,119
36,79,2844,2923,2765,115
73,21,1533,1554,1512,94
61,27,1647,1674,1620,88
46,64,2944,3008,2880,110
43,15,645,660,630,58
72,38,2736,2774,2698,110
95,41,3895,3936,3854,136
20,31,620,651,589,51
14,16,224,240,208,30
56,12,672,684,660,68
66,92,6072,6164,5980,158
70,34,2380,2414,2346,104
17,98,1666,1764,1568,115
84,20,1680,1700,1660,104
14,97,1358,1455,1261,111
23,16,368,384,352,39
11,69,759,828,690,80
70,88,6160,6248,6072,158
47,74,3478,3552,3404,121
60,52,3120,3172,3068,112
27,21,567,588,546,48
51,67,3417,3484,3350,118
11,68,748,816,680,79
88,52,4576,4628,4524,140
41,79,3239,3318,3160,120
51,73,3723,3796,3650,124
90,70,6300,6370,6230,160
69,47,3243,3290,3196,116
26,87,2262,2349,2175,113
72,40,2880,2920,2840,112
11,80,880,960,800,91
96,22,2112,2134,2090,118
16,62,992,1054,930,78
66,21,1386,1407,1365,87
30,46,1380,1426,1334,76
14,39,546,585,507,53
50,85,4250,4335,4165,135
32,63,2016,2079,1953,95
70,28,1960,1988,1932,98
69,95,6555,6650,6460,164
87,45,3915,3960,3870,132
16,60,960,1020,900,76
87,34,2958,2992,2924,121
47,53,2491,2544,2438,100
89,22,1958,1980,1936,111
14,51,714,765,663,65
47,94,4418,4512,4324,141
59,20,1180,1200,1160,79
59,35,2065,2100,2030,94
62,38,2356,2394,2318,100
73,47,3431,3478,3384,120
93,80,7440,7520,7360,173
88,37,3256,3293,3219,125
34,20,680,700,660,54
89,53,4717,4770,4664,142
98,28,2744,2772,2716,126
43,49,2107,2156,2058,92
81,94,7614,7708,7520,175
99,24,2376,2400,2352,123
78,43,3354,3397,3311,121
67,13,871,884,858,80
91,70,6370,6440,6300,161
11,40,440,480,400,51
72,86,6192,6278,6106,158
14,77,1078,1155,1001,91
16,82,1312,1394,1230,98
65,90,5850,5940,5760,155
34,33,1122,1155,1089,67
70,38,2660,2698,2622,108
82,97,7954,8051,7857,179
68,95,6460,6555,6365,163
23,52,1196,1248,1144,75
83,84,6972,7056,6888,167
18,52,936,988,884,70
41,11,451,462,440,52
31,88,2728,2816,2640,119
99,23,2277,2300,2254,122
12,52,624,676,572,64
23,76,1748,1824,1672,99
96,97,9312,9409,9215,193
32,21,672,693,651,53
42,53,2226,2279,2173,95
93,56,5208,5264,5152,149
63,67,4221,4288,4154,130
25,59,1475,1534,1416,84
20,99,1980,2079,1881,119
38,78,2964,3042,2886,116
23,79,1817,1896,1738,102
73,48,3504,3552,3456,121
96,79,7584,7663,7505,175
88,22,1936,1958,1914,110
11,91,1001,1092,910,102
22,51,1122,1173,1071,73
28,98,2744,2842,2646,126
30,61,1830,1891,1769,91
56,67,3752,3819,3685,123
77,33,2541,2574,2508,110
44,24,1056,1080,1032,68
81,79,6399,6478,6320,160
97,65,6305,6370,6240,162
89,12,1068,1080,1056,101
66,91,6006,6097,5915,157
85,83,7055,7138,6972,168
99,31,3069,3100,3038,130
55,17,935,952,918,72
44,15,660,675,645,59
88,25,2200,2225,2175,113
64,94,6016,6110,5922,158
82,88,7216,7304,7128,170
95,39,3705,3744,3666,134
30,68,2040,2108,1972,98
84,95,7980,8075,7885,179
14,49,686,735,637,63
42,39,1638,1677,1599,81
41,87,3567,3654,3480,128
43,68,2924,2992,2856,111
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
