n,m,p,a1,a2,a3,a4
500,10,2,512,513,612,592
700,20,6,726,727,826,806
200,50,3,253,254,353,333
700,80,9,789,790,889,869
400,40,1,441,442,541,521
300,10,6,316,317,416,396
200,50,5,255,256,355,335
800,30,4,834,835,934,914
300,10,5,315,316,415,395
700,30,4,734,735,834,814
400,80,6,486,487,586,566
100,70,6,176,177,276,256
600,30,4,634,635,734,714
900,40,3,943,944,1043,1023
300,60,5,365,366,465,445
900,40,7,947,948,1047,1027
100,60,6,166,167,266,246
700,60,7,767,768,867,847
800,50,2,852,853,952,932
500,30,7,537,538,637,617
600,20,9,629,630,729,709
500,60,2,562,563,662,642
600,50,6,656,657,756,736
300,60,6,366,367,466,446
100,30,7,137,138,237,217
200,80,9,289,290,389,369
500,90,2,592,593,692,672
600,40,3,643,644,743,723
800,90,3,893,894,993,973
300,50,7,357,358,457,437
300,70,9,379,380,479,459
800,30,1,831,832,931,911
700,60,8,768,769,868,848
400,70,3,473,474,573,553
800,90,2,892,893,992,972
600,40,2,642,643,742,722
200,70,9,279,280,379,359
600,70,5,675,676,775,755
500,90,5,595,596,695,675
800,70,5,875,876,975,955
100,60,1,161,162,261,241
100,20,9,129,130,229,209
300,30,6,336,337,436,416
100,50,5,155,156,255,235
200,90,3,293,294,393,373
100,10,7,117,118,217,197
100,10,4,114,115,214,194
900,60,9,969,970,1069,1049
600,10,5,615,616,715,695
700,80,7,787,788,887,867
200,80,4,284,285,384,364
300,50,4,354,355,454,434
400,80,4,484,485,584,564
900,20,7,927,928,1027,1007
500,70,6,576,577,676,656
300,10,5,315,316,415,395
100,40,3,143,144,243,223
400,10,9,419,420,519,499
700,50,3,753,754,853,833
500,70,7,577,578,677,657
500,90,6,596,597,696,676
600,80,8,688,689,788,768
600,80,6,686,687,786,766
900,70,5,975,976,1075,1055
100,60,1,161,162,261,241
100,80,8,188,189,288,268
900,90,8,998,999,1098,1078
100,60,9,169,170,269,249
300,80,1,381,382,481,461
200,80,5,285,286,385,365
700,10,5,715,716,815,795
700,50,9,759,760,859,839
600,80,9,689,690,789,769
900,70,3,973,974,1073,1053
800,50,6,856,857,956,936
700,80,9,789,790,889,869
700,50,1,751,752,851,831
300,10,9,319,320,419,399
800,80,3,883,884,983,963
200,10,7,217,218,317,297
700,60,7,767,768,867,847
800,30,8,838,839,938,918
800,80,5,885,886,985,965
600,30,7,637,638,737,717
600,30,5,635,636,735,715
400,60,1,461,462,561,541
500,50,6,556,557,656,636
800,20,3,823,824,923,903
100,20,6,126,127,226,206
800,80,4,884,885,984,964
200,10,6,216,217,316,296
300,20,8,328,329,428,408
800,20,3,823,824,923,903
400,70,6,476,477,576,556
500,40,3,543,544,643,623
600,30,9,639,640,739,719
200,90,4,294,295,394,374
400,90,3,493,494,593,573
400,20,9,429,430,529,509
700,80,9,789,790,889,869
100,50,1,151,152,251,231
600,40,9,649,650,749,729
100,70,8,178,179,278,258
200,70,7,277,278,377,357
100,40,3,143,144,243,223
100,30,1,131,132,231,211
500,80,8,588,589,688,668
500,80,9,589,590,689,669
600,50,6,656,657,756,736
200,60,1,261,262,361,341
600,80,2,682,683,782,762
100,20,1,121,122,221,201
200,70,2,272,273,372,352
100,60,6,166,167,266,246
700,80,6,786,787,886,866
500,10,3,513,514,613,593
100,30,7,137,138,237,217
100,20,5,125,126,225,205
400,30,1,431,432,531,511
800,90,7,897,898,997,977
600,20,1,621,622,721,701
400,50,6,456,457,556,536
200,30,5,235,236,335,315
700,30,1,731,732,831,811
700,90,1,791,792,891,871
600,40,2,642,643,742,722
100,70,3,173,174,273,253
500,30,1,531,532,631,611
100,30,1,131,132,231,211
900,90,8,998,999,1098,1078
300,80,3,383,384,483,463
100,70,5,175,176,275,255
300,20,5,325,326,425,405
500,30,8,538,539,638,618
800,30,8,838,839,938,918
400,40,1,441,442,541,521
100,40,1,141,142,241,221
100,40,9,149,150,249,229
900,90,2,992,993,1092,1072
600,40,1,641,642,741,721
500,30,2,532,533,632,612
600,80,8,688,689,788,768
600,30,4,634,635,734,714
600,80,8,688,689,788,768
300,60,2,362,363,462,442
800,20,9,829,830,929,909
200,80,6,286,287,386,366
400,10,4,414,415,514,494
700,10,1,711,712,811,791
500,60,7,567,568,667,647
200,30,8,238,239,338,318
300,40,1,341,342,441,421
700,90,7,797,798,897,877
900,90,8,998,999,1098,1078
600,50,4,654,655,754,734
700,30,9,739,740,839,819
200,80,8,288,289,388,368
100,40,4,144,145,244,224
500,50,6,556,557,656,636
700,80,6,786,787,886,866
400,60,5,465,466,565,545
800,10,2,812,813,912,892
900,80,9,989,990,1089,1069
600,40,1,641,642,741,721
600,60,8,668,669,768,748
400,30,9,439,440,539,519
800,10,2,812,813,912,892
900,40,1,941,942,1041,1021
700,80,1,781,782,881,861
500,90,4,594,595,694,674
400,30,7,437,438,537,517
300,40,2,342,343,442,422
600,80,8,688,689,788,768
200,40,3,243,244,343,323
700,80,6,786,787,886,866
400,10,1,411,412,511,491
200,80,2,282,283,382,362
800,70,6,876,877,976,956
400,10,2,412,413,512,492
500,40,1,541,542,641,621
900,50,7,957,958,1057,1037
400,90,2,492,493,592,572
900,60,8,968,969,1068,1048
500,90,3,593,594,693,673
900,30,8,938,939,1038,1018
700,60,8,768,769,868,848
600,50,2,652,653,752,732
800,30,2,832,833,932,912
500,50,9,559,560,659,639
500,30,4,534,535,634,614
900,50,7,957,958,1057,1037
400,50,4,454,455,554,534
500,70,5,575,576,675,655
100,60,3,163,164,263,243
500,50,7,557,558,657,637
700,40,1,741,742,841,821
800,40,8,848,849,948,928
400,20,7,427,428,527,507
900,60,4,964,965,1064,1044
400,20,1,421,422,521,501
600,90,5,695,696,795,775
800,30,2,832,833,932,912
600,90,2,692,693,792,772
100,60,8,168,169,268,248
600,30,9,639,640,739,719
300,50,8,358,359,458,438
300,20,1,321,322,421,401
200,90,4,294,295,394,374
300,30,7,337,338,437,417
800,40,2,842,843,942,922
500,70,2,572,573,672,652
700,10,9,719,720,819,799
900,60,3,963,964,1063,1043
700,70,8,778,779,878,858
700,80,3,783,784,883,863
900,20,6,926,927,1026,1006
200,80,8,288,289,388,368
100,30,8,138,139,238,218
400,30,2,432,433,532,512
400,30,3,433,434,533,513
100,30,6,136,137,236,216
200,40,9,249,250,349,329
400,10,1,411,412,511,491
800,40,7,847,848,947,927
500,90,3,593,594,693,673
200,30,4,234,235,334,314
200,50,9,259,260,359,339
100,10,2,112,113,212,192
600,60,2,662,663,762,742
800,30,8,838,839,938,918
600,40,4,644,645,744,724
600,60,7,667,668,767,747
300,20,4,324,325,424,404
900,50,5,955,956,1055,1035
300,70,6,376,377,476,456
200,10,2,212,213,312,292
100,80,8,188,189,288,268
300,60,5,365,366,465,445
300,10,7,317,318,417,397
200,90,7,297,298,397,377
400,20,9,429,430,529,509
600,90,8,698,699,798,778
500,30,6,536,537,636,616
600,10,7,617,618,717,697
800,70,1,871,872,971,951
400,40,2,442,443,542,522
800,40,2,842,843,942,922
700,80,9,789,790,889,869
300,70,4,374,375,474,454
100,40,9,149,150,249,229
900,90,3,993,994,1093,1073
300,20,2,322,323,422,402
900,90,9,999,1000,1099,1079
500,40,8,548,549,648,628
600,70,3,673,674,773,753
300,20,7,327,328,427,407
800,30,2,832,833,932,912
900,10,2,912,913,1012,992
600,10,1,611,612,711,691
200,20,9,229,230,329,309
400,90,7,497,498,597,577
300,20,2,322,323,422,402
200,80,1,281,282,381,361
600,40,3,643,644,743,723
100,70,9,179,180,279,259
200,10,8,218,219,318,298
600,50,6,656,657,756,736
700,80,3,783,784,883,863
400,50,9,459,460,559,539
400,90,2,492,493,592,572
600,50,4,654,655,754,734
500,80,6,586,587,686,666
200,20,2,222,223,322,302
300,60,8,368,369,468,448
300,20,7,327,328,427,407
700,80,6,786,787,886,866
800,90,7,897,898,997,977
800,30,5,835,836,935,915
300,60,1,361,362,461,441
300,30,6,336,337,436,416
400,50,8,458,459,558,538
800,30,9,839,840,939,919
700,70,5,775,776,875,855
700,20,7,727,728,827,807
100,50,4,154,155,254,234
400,10,8,418,419,518,498
300,20,1,321,322,421,401
700,30,2,732,733,832,812
100,10,4,114,115,214,194
900,60,7,967,968,1067,1047
100,70,3,173,174,273,253
300,90,7,397,398,497,477
100,90,3,193,194,293,273
400,90,1,491,492,591,571
100,90,6,196,197,296,276
800,50,1,851,852,951,931
200,90,7,297,298,397,377
300,50,8,358,359,458,438
800,80,8,888,889,988,968
600,80,4,684,685,784,764
100,60,6,166,167,266,246
800,20,6,826,827,926,906
300,70,8,378,379,478,458
200,40,2,242,243,342,322
800,70,4,874,875,974,954
900,80,5,985,986,1085,1065
600,90,3,693,694,793,773
200,80,4,284,285,384,364
100,70,2,172,173,272,252
200,10,4,214,215,314,294
300,20,8,328,329,428,408
600,30,2,632,633,732,712
100,40,4,144,145,244,224
600,80,8,688,689,788,768
500,10,9,519,520,619,599
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
